"Position in Read (bp)"	"AH10_S41_L002_R1_001"	"AH11_S42_L002_R1_001"	"AH12_S43_L002_R1_001"	"AH13_S44_L002_R1_001"	"AH14_S45_L002_R1_001"	"AH15_S46_L002_R1_001"	"AH16_S47_L002_R1_001"	"AH17_S48_L002_R1_001"	"AH18_S49_L002_R1_001"	"AH19_S50_L002_R1_001"	"AH1_S32_L002_R1_001"	"AH20_S51_L002_R1_001"	"AH21_S52_L002_R1_001"	"AH22_S53_L002_R1_001"	"AH23_S54_L002_R1_001"	"AH24_S55_L002_R1_001"	"AH25_S56_L002_R1_001"	"AH26_S57_L002_R1_001"	"AH27_S58_L002_R1_001"	"AH28_S59_L002_R1_001"	"AH29_S60_L002_R1_001"	"AH2_S33_L002_R1_001"	"AH30_S61_L002_R1_001"	"AH31_S62_L002_R1_001"	"AH32_S63_L002_R1_001"	"AH33_S64_L002_R1_001"	"AH34_S65_L002_R1_001"	"AH35_S66_L002_R1_001"	"AH36_S67_L002_R1_001"	"AH37_S68_L002_R1_001"	"AH38_S69_L002_R1_001"	"AH39_S70_L002_R1_001"	"AH3_S34_L002_R1_001"	"AH4_S35_L002_R1_001"	"AH5_S36_L002_R1_001"	"AH6_S37_L002_R1_001"	"AH7_S38_L002_R1_001"	"AH8_S39_L002_R1_001"	"AH9_S40_L002_R1_001"
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0.00016458842133116583	0.00028409859574122674	0.0002978021059190459	0.0002457452164710633	0.0003746760724634229	0.0001796945910730123	0.0002029600597153598	0.00017480809291546963	0.0002123580718099438	0.00025920947707551385	0.000322505393902713	0.0004221838868828639	0.0002524963858585497	0.0002707303492632074	0.00032155126620457607	0.00020313678748819586	0.00030532934043977193	0.0002452838342768974	0.000269103790192333	0.00016861208647141917	0.0002914533613316162	0.0003100111914040097	0.00021496332334861265	0.0002439313468138405	0.00034763165506040446	0.00022563283343353483	0.00026900504502821646	0.00015930662957725118	0.0003376149838723919	0.0002531201549944526	0.00025981222189758814	0.00026261105164846583	0.00023463358020341023	0.00015006265693090932	0.0002429103843968502	0.00027067415045387347	0.00035227061898644696	0.00024899223100936254	0.0002620510737542747
38	0.000784960163271714	0.0012852079331150735	0.001111030933621056	0.0009928106745430959	0.0012310785238083895	0.0010482184479259052	0.001082453651815252	0.0009568442980636231	0.0011546970154665693	0.0010604024062180113	0.0010965183392692244	0.0013017336512221637	0.0011362337363634736	0.0013235705963979027	0.0010546881531510095	0.0011807325772751384	0.0012823832298470422	0.0012380993539691013	0.0012109670558654983	0.001051345950939437	0.0010050115907986766	0.0011625419677650363	0.0010064191956775956	0.0010474699010241386	0.0011402318285981268	0.0011999564323510715	0.0012051426017264098	0.0008921171256326065	0.0012206080186155707	0.0012329401098116882	0.0011691549985391467	0.0012755393937211197	0.00118383306375357	0.001119698286330631	0.0010820553486768781	0.001035622836519168	0.001268174228351209	0.00098514317486313	0.001345989606101502
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0.00002532129558941013	0.00004058551367731811	0.000022907854301465073	0.000029489425976527596	0.000026762576604530208	0.000019966065674779144	0.00003382667661922663	0.000027601277828758357	0.000013272379488121487	0.000023564497915955804	0.00004300071918702841	0.000011727330191190665	0.000011477108448115895	0.00003008114991813415	0.000012862050648183044	0.000012696049218012241	0.000012213173617590878	0.000011680182584614164	0.00003363797377404162	0.000029755074083191617	0.000030150347723960304	0.00003321548479328675	0.000019542120304419333	0.000014348902753755322	0.000027810532404832358	0.000020512075766684985	0	0.000042481767887266985	0.00002597038337479938	0.000024495498870430898	0.000035428939349671114	0.000018757932260604702	0.00003199548820955594	0.00002308656260475528	0.000011041381108947736	0.000035305323972244365	0.0000352270618986447	0.000032477247522960334	0.000023822824886752247
44	0.000012660647794705065	0.00004058551367731811	0.00009163141720586029	0.000049149043294212657	0.000013381288302265104	0.00005989819702433744	0.000045102235492302175	0.00001840085188583891	0.000026544758976242974	0.000058911244789889516	0.000010750179796757102	0.00008209131133833464	0.00002295421689623179	0	0.000025724101296366087	0.00003808814765403672	0.000024426347235181756	0.00003504054775384249	0.00003363797377404162	0.00005951014816638323	0.000040200463631947065	0.00003321548479328675	0.000019542120304419333	0.00004304670826126597	0.000055621064809664717	0.00004102415153336997	0.00002152040360225732	0.000010620441971816746	0.00006492595843699845	0.000024495498870430898	0	0.00007503172904241881	0.00005332581368259324	0.00006925968781426582	0.00003312414332684321	0.000011768441324081454	0.000023484707932429797	0	0.000023822824886752247
46	0.00022789166030469114	0.00032468410941854486	0.0003550717416727086	0.00023591540781222077	0.0003479134958588927	0.0003993213134955829	0.0002255111774615109	0.00022081022263006686	0.0003185371077149157	0.0002709917260334918	0.0001935032363416278	0.0003870018963092919	0.0002410192774104338	0.0003008114991813415	0.00034727536750094214	0.00036818542732235495	0.00035418203491013547	0.00037376584270765325	0.00034759239566509674	0.00036697924702603	0.00022110254997570887	0.000265723878346294	0.000351758165479548	0.00037307147159763843	0.00044496851847731773	0.0002769130228502473	0.00032280605403385977	0.00022302928140815163	0.00040254094230939035	0.00035110215047617617	0.0003779086863964919	0.00039391657747269874	0.0003199548820955594	0.0003232118764665739	0.0002981172899415889	0.00027067415045387347	0.0002583317872567278	0.00020568923431208208	0.0004764564977350449
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0.000011275558873075544	0	0	0	0.000010750179796757102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000009378966130302351	0	0	0	0	0	0	0
