OTU	Size	Taxonomy
Otu0070	470	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0071	460	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Alteromonadales(100);Alteromonadales_incertae_sedis(100);Teredinibacter(100);"
Otu0072	453	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0073	446	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0074	445	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Alteromonadales(100);Alteromonadaceae(100);Alteromonadaceae_unclassified(100);"
Otu0075	437	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(100);"
Otu0076	437	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0077	431	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Thiotrichales(100);Piscirickettsiaceae(100);Methylophaga(100);"
Otu0078	428	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Oceanospirillales(100);Alcanivoracaceae(100);Alcanivorax(100);"
Otu0079	422	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0080	422	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0081	421	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhodospirillales(100);Rhodospirillaceae(100);Rhodospirillaceae_unclassified(100);"
Otu0082	413	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0083	403	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0084	394	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Kiloniellales(100);Kiloniellaceae(100);Kiloniella(100);"
Otu0085	393	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Alteromonadales(100);Alteromonadaceae(100);Marinobacterium(100);"
Otu0086	392	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);
Otu0087	386	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0088	383	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0089	383	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Caulobacterales(100);Hyphomonadaceae(100);Maricaulis(100);"
Otu0090	370	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhodospirillales(100);Rhodospirillaceae(100);Thalassospira(100);"
Otu0091	367	"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Flavobacteriaceae_unclassified(100);"
Otu0092	364	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0093	357	"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Flavobacteriaceae_unclassified(94);"
Otu0094	351	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(100);"
Otu0095	347	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacteraceae_unclassified(100);"
Otu0096	342	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0097	332	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0098	330	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae_1(80);Bacillus(78);
Otu0099	323	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Alteromonadales(100);Alteromonadaceae(100);Marinobacter(100);"
Otu0100	320	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0101	319	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0102	316	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacteraceae_unclassified(100);"
Otu0103	315	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0104	312	"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Flavobacteriaceae_unclassified(58);"
Otu0105	307	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0106	305	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Sphingomonadales(100);Erythrobacteraceae(100);Erythrobacter(100);"
Otu0107	304	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Alteromonadales(100);Pseudoalteromonadaceae(100);Pseudoalteromonas(90);"
Otu0108	299	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Saprospiraceae""(100);Lewinella(100);"
Otu0109	290	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0110	287	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Alteromonadales(100);Alteromonadaceae(100);Glaciecola(100);"
Otu0111	282	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Oceanospirillales(100);Oceanospirillales_unclassified(100);Oceanospirillales_unclassified(100);"
Otu0112	281	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(99);"
Otu0113	274	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Myxococcales(100);Nannocystaceae(100);Nannocystaceae_unclassified(100);"
Otu0114	274	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0115	273	"Bacteria(100);""Planctomycetes""(100);""Planctomycetacia""(100);Planctomycetales(100);Planctomycetaceae(100);Planctomycetaceae_unclassified(100);"
Otu0116	271	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(100);"
Otu0117	268	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0118	267	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0119	266	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Caulobacterales(100);Hyphomonadaceae(100);Oceanicaulis(100);"
Otu0120	253	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Sphingomonadales(100);Erythrobacteraceae(100);Erythrobacteraceae_unclassified(96);"
Otu0121	250	"Bacteria(100);""Verrucomicrobia""(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiales_unclassified(100);Verrucomicrobiales_unclassified(100);"
Otu0122	249	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
