lifestage,sample_id,Module,Mean
Attached Recruit (183 hpf),AH39,ME4,-0.06174997633002012
Embryo (38 hpf),AH3,ME4,-0.12428105321045657
Embryo (38 hpf),AH4,ME4,-0.12733130818092048
Embryo (65 hpf),AH5,ME4,0.08504758518609147
Embryo (65 hpf),AH6,ME4,0.07891631910869179
Embryo (65 hpf),AH7,ME4,0.08298390840310631
Embryo (65 hpf),AH8,ME4,0.09325120688124137
Larvae (93 hpf),AH9,ME4,0.25827951031207813
Larvae (93 hpf),AH10,ME15,-0.19215333735464193
Larvae (93 hpf),AH11,ME15,-0.19563126276329368
Egg (1 hpf),AH12,ME15,-0.024203911825404725
Larvae (93 hpf),AH13,ME15,-0.19620220803943367
Larvae (163 hpf),AH14,ME15,-0.16853854632285414
Larvae (163 hpf),AH15,ME15,-0.1272557876017055
Larvae (163 hpf),AH16,ME15,-0.15500739877612071
Larvae (163 hpf),AH17,ME15,-0.17138040769947882
Larvae (231 hpf),AH18,ME15,0.10978254825187556
Egg (1 hpf),AH19,ME15,0.02418544800154545
Egg (1 hpf),AH1,ME15,0.004463100121589629
Larvae (231 hpf),AH20,ME15,0.1208495580765791
Larvae (231 hpf),AH21,ME15,0.09626399703517863
Larvae (231 hpf),AH22,ME15,0.07969336619036732
Metamorphosed Polyp (231 hpf),AH24,ME15,0.13965621391174773
Metamorphosed Polyp (231 hpf),AH25,ME15,0.08575175019779414
Egg (1 hpf),AH26,ME15,-0.011114426346569268
Metamorphosed Polyp (231 hpf),AH27,ME15,0.10127802386584221
Embryo (5 hpf),AH28,ME15,-0.023779202054036642
Embryo (5 hpf),AH29,ME15,0.012784512268666583
Embryo (38 hpf),AH2,ME15,-0.001288278288415198
Embryo (5 hpf),AH30,ME15,0.0036018934757377345
Embryo (5 hpf),AH31,ME15,-0.02483810724859919
Embryo (38 hpf),AH32,ME15,-0.02874024921123756
Attached Recruit (183 hpf),AH33,ME15,0.2717708330324138
Attached Recruit (231 hpf),AH34,ME15,0.20920190452867515
Attached Recruit (231 hpf),AH35,ME15,0.24452994675850342
Attached Recruit (183 hpf),AH36,ME15,0.26479525993380215
Attached Recruit (183 hpf),AH37,ME15,0.2812316211440949
Attached Recruit (231 hpf),AH38,ME15,0.22215124405948483
Attached Recruit (183 hpf),AH39,ME15,0.2359260873196854
Embryo (38 hpf),AH3,ME15,-0.0031194193298824725
Embryo (38 hpf),AH4,ME15,-0.020377503560098934
Embryo (65 hpf),AH5,ME15,-0.23766542803775279
Embryo (65 hpf),AH6,ME15,-0.26277935990815793
Embryo (65 hpf),AH7,ME15,-0.22103715823688322
Embryo (65 hpf),AH8,ME15,-0.2429008967616666
Larvae (93 hpf),AH9,ME15,-0.19990441880736232
Larvae (93 hpf),AH10,ME8,-0.04273875609758453
Larvae (93 hpf),AH11,ME8,-0.04047336288434422
Egg (1 hpf),AH12,ME8,-0.16908093936577157
Larvae (93 hpf),AH13,ME8,-0.026675166252142554
Larvae (163 hpf),AH14,ME8,0.009150268224420756
Larvae (163 hpf),AH15,ME8,0.04446979534561233
Larvae (163 hpf),AH16,ME8,-0.004657353327923454
Larvae (163 hpf),AH17,ME8,-0.02107470756102281
Larvae (231 hpf),AH18,ME8,0.00418231480907953
Egg (1 hpf),AH19,ME8,-0.15556478171738125
Egg (1 hpf),AH1,ME8,-0.16806422039278532
Larvae (231 hpf),AH20,ME8,0.05348220108948082
Larvae (231 hpf),AH21,ME8,0.026885969197592594
Larvae (231 hpf),AH22,ME8,0.03344599845600394
Metamorphosed Polyp (231 hpf),AH24,ME8,0.05145771155121067
Metamorphosed Polyp (231 hpf),AH25,ME8,0.0022087699201662502
Egg (1 hpf),AH26,ME8,-0.16522241988398081
Metamorphosed Polyp (231 hpf),AH27,ME8,0.0232979322493303
Embryo (5 hpf),AH28,ME8,-0.17170255176843185
Embryo (5 hpf),AH29,ME8,-0.1660152213591669
Embryo (38 hpf),AH2,ME8,-0.13247561522792378
Embryo (5 hpf),AH30,ME8,-0.16752793310226516
Embryo (5 hpf),AH31,ME8,-0.172410315320032
Embryo (38 hpf),AH32,ME8,-0.14204215574430132
Attached Recruit (183 hpf),AH33,ME8,0.2750818199491267
Attached Recruit (231 hpf),AH34,ME8,0.3081001683830103
Attached Recruit (231 hpf),AH35,ME8,0.32481541599702574
Attached Recruit (183 hpf),AH36,ME8,0.288487241573282
Attached Recruit (183 hpf),AH37,ME8,0.35692241410283376
Attached Recruit (231 hpf),AH38,ME8,0.3106686311023039
Attached Recruit (183 hpf),AH39,ME8,0.27597101113638695
Embryo (38 hpf),AH3,ME8,-0.13019951711822547
Embryo (38 hpf),AH4,ME8,-0.13768272295354053
Embryo (65 hpf),AH5,ME8,-0.08325095864904442
Embryo (65 hpf),AH6,ME8,-0.08335805383943001
Embryo (65 hpf),AH7,ME8,-0.08246547232461664
Embryo (65 hpf),AH8,ME8,-0.07993932187257087
Larvae (93 hpf),AH9,ME8,-0.04600611632442009
Larvae (93 hpf),AH10,ME12,-0.010910811766506169
Larvae (93 hpf),AH11,ME12,-0.023057284213514384
Egg (1 hpf),AH12,ME12,-0.19069796011686446
Larvae (93 hpf),AH13,ME12,-0.0010866988943351724
Larvae (163 hpf),AH14,ME12,0.0352326476432634
Larvae (163 hpf),AH15,ME12,0.049045542459357445
Larvae (163 hpf),AH16,ME12,0.04347781381400869
Larvae (163 hpf),AH17,ME12,0.051886316922056294
Larvae (231 hpf),AH18,ME12,0.24627952356754712
Egg (1 hpf),AH19,ME12,-0.19995894724111166
Egg (1 hpf),AH1,ME12,-0.19172568710758175
Larvae (231 hpf),AH20,ME12,0.25487044920023616
Larvae (231 hpf),AH21,ME12,0.22184205377046312
Larvae (231 hpf),AH22,ME12,0.22227580499516758
Metamorphosed Polyp (231 hpf),AH24,ME12,0.2512907245809989
Metamorphosed Polyp (231 hpf),AH25,ME12,0.2500071534240153
Egg (1 hpf),AH26,ME12,-0.1912252715794545
Metamorphosed Polyp (231 hpf),AH27,ME12,0.2577232303775749
Embryo (5 hpf),AH28,ME12,-0.19182353096784974
Embryo (5 hpf),AH29,ME12,-0.18959090866921696
Embryo (38 hpf),AH2,ME12,-0.18541443140318445
Embryo (5 hpf),AH30,ME12,-0.19261875693197886
Embryo (5 hpf),AH31,ME12,-0.19719835294049462
Embryo (38 hpf),AH32,ME12,-0.18450996081399937
Attached Recruit (183 hpf),AH33,ME12,0.1149858101046748
Attached Recruit (231 hpf),AH34,ME12,0.13807176346600164
Attached Recruit (231 hpf),AH35,ME12,0.12867373932448906
Attached Recruit (183 hpf),AH36,ME12,0.1115709368230768
Attached Recruit (183 hpf),AH37,ME12,0.11267918724920066
Attached Recruit (231 hpf),AH38,ME12,0.09721774482048645
Attached Recruit (183 hpf),AH39,ME12,0.13807908761463858
Embryo (38 hpf),AH3,ME12,-0.181066673434071
Embryo (38 hpf),AH4,ME12,-0.18742921197985632
Embryo (65 hpf),AH5,ME12,-0.09661469754822356
Embryo (65 hpf),AH6,ME12,-0.10326151757920281
Embryo (65 hpf),AH7,ME12,-0.09338068227720071
Embryo (65 hpf),AH8,ME12,-0.09140960158346843
Larvae (93 hpf),AH9,ME12,-0.0222285431091604
Larvae (93 hpf),AH10,ME14,0.004070231225848385
Larvae (93 hpf),AH11,ME14,-0.01799852287098347
Egg (1 hpf),AH12,ME14,-0.2120112179444591
Larvae (93 hpf),AH13,ME14,-0.020138114890418436
Larvae (163 hpf),AH14,ME14,-0.007491634859935088
Larvae (163 hpf),AH15,ME14,-0.02450894600664012
Larvae (163 hpf),AH16,ME14,-0.04355498422726706
Larvae (163 hpf),AH17,ME14,-0.03881800065734161
Larvae (231 hpf),AH18,ME14,-0.07509125553140893
Egg (1 hpf),AH19,ME14,-0.21523769090277084
Egg (1 hpf),AH1,ME14,-0.22527262101510326
Larvae (231 hpf),AH20,ME14,-0.05301083278939308
Larvae (231 hpf),AH21,ME14,-0.04724511365837687
Larvae (231 hpf),AH22,ME14,-0.009705895383451252
Metamorphosed Polyp (231 hpf),AH24,ME14,-0.001974464937846768
Metamorphosed Polyp (231 hpf),AH25,ME14,-0.08036834058226527
Egg (1 hpf),AH26,ME14,-0.23283484076983152
Metamorphosed Polyp (231 hpf),AH27,ME14,-0.0625767110370299
Embryo (5 hpf),AH28,ME14,-0.23017171210148857
Embryo (5 hpf),AH29,ME14,-0.22809979116482595
Embryo (38 hpf),AH2,ME14,0.18316004002134015
Embryo (5 hpf),AH30,ME14,-0.22316003946482055
Embryo (5 hpf),AH31,ME14,-0.2067868203596272
Embryo (38 hpf),AH32,ME14,0.17573533389398927
Attached Recruit (183 hpf),AH33,ME14,0.19823017594268605
Attached Recruit (231 hpf),AH34,ME14,0.25950887486474755
Attached Recruit (231 hpf),AH35,ME14,0.30242815788754723
Attached Recruit (183 hpf),AH36,ME14,0.24749885120154314
Attached Recruit (183 hpf),AH37,ME14,0.2877872927812787
Attached Recruit (231 hpf),AH38,ME14,0.2703798954952438
Attached Recruit (183 hpf),AH39,ME14,0.1791589771540166
Embryo (38 hpf),AH3,ME14,0.22219262106232773
Embryo (38 hpf),AH4,ME14,0.10807688641301959
Embryo (65 hpf),AH5,ME14,-0.03809314630520433
