gene_id,MM.2
adi2mcaRNA3630_R0,-0.919206298588872
adi2mcaRNA155_R0,-0.579746533723315
adi2mcaRNA35168_R1,-0.825690654827669
g10420,-0.722083074223741
g6229,-0.913638574741763
g31738,-0.808872840966077
g33679,-0.924800726845319
g60497,-0.915043253115636
g28979,-0.899592542500052
g9989,-0.9531960714671
g32305,-0.841092295471274
g25489,-0.951836004579993
g49974,-0.739170341439164
g64064,-0.912437324483124
g63849,-0.871781133730904
g21653,-0.650943706776189
g37216,-0.683836210442438
g38615,-0.790176362298527
g10474,-0.921228011173689
g33278,-0.853473961515022
g70994,-0.905260504244419
g47455,-0.92660798796124
g58961,-0.945965857446509
g41730,-0.892108169950134
g35178,-0.750383392710193
g50751,-0.858683966237429
adi2mcaRNA41172_R0,-0.922936427769191
g16778,-0.920270840311523
g18920,-0.897705561684889
g58096,-0.938251168515252
g32230,-0.93645295770437
g49543,-0.824243421115831
g54265,-0.526604917185077
g29187,-0.950154791040385
g53888,-0.94426168302638
g52828,-0.72436443384551
adi2mcaRNA3566_R1,-0.835652978039272
g59960,-0.934771312085435
g49978,-0.898261589573938
g61998,-0.952923632847182
g63461,-0.88478309803817
g69042,-0.943822302397377
adi2mcaRNA35770_R1,-0.923878794658585
g49538,-0.93259929038596
g4862,-0.835347446982744
g71386,-0.944544198017115
g29176,-0.808338711255548
g36440,-0.946788610247725
g39448,-0.783778962648339
g15705,-0.710598088102486
g27154,-0.805107745779539
adi2mcaRNA26831_R1,-0.910237471149225
g58440,-0.877781535876875
g45704,-0.920356097109953
g66109,-0.935241133310245
g64599,-0.809662593617064
g12122,-0.864827999290675
g35321,-0.898774018042741
g42409,-0.947165643086655
g10290,-0.825270971004895
g31857,-0.927655558975993
g66532,-0.939942481492057
g50677,-0.918354165347252
g48818,-0.559983694886932
adi2mcaRNA354_R0,-0.810934129737447
g30189,-0.92508913954919
adi2mcaRNA29396_R0,-0.88939830887958
g16600,-0.840328449649284
g48582,-0.948374910098346
g16355,-0.94932568492254
g66185,-0.898702417714036
g30461,-0.959598391289301
g34002,-0.751732321331271
adi2mcaRNA2699_R0,-0.90254598103787
g60308,-0.79925697127108
g16051,-0.856693285673713
g49151,-0.95330085333837
g31842,-0.897120486828862
g47443,-0.725350217749977
g37095,-0.922688203926856
adi2mcaRNA4135_R0,-0.861031559151525
g38092,-0.852272713648228
g66110,-0.517563767606884
g58529,-0.819356229102227
g3043,-0.767305408646337
g5055,-0.920349662637012
g20165,-0.918533805303431
adi2mcaRNA11434_R0,-0.869463323043822
g6542,-0.954492052245627
g35144,-0.918728501393999
adi2mcaRNA6487_R0,-0.963373292471528
g43945,-0.423995745603104
adi2mcaRNA3566_R0,-0.775618612599419
g4179,-0.757666532206863
adi2mcaRNA26115_R2,-0.928435783385454
g67459,-0.942917888302365
g67119,-0.853389162276919
g55326,-0.93518409705904
g42822,-0.872916142181855
g71045,-0.944428939454207
g5724,-0.96060479200437
g25543,-0.938928901028311
g2555,-0.942060233502932
g41674,-0.946418806805346
g61594,-0.849899415145075
g4767,-0.718407111777513
g41481,-0.825019546232974
g67870,-0.810567729655567
g49258,-0.823869342012399
g55020,-0.897129977423731
g67746,-0.900918601708437
g70590,-0.434441851517808
adi2mcaRNA35487_R0,-0.952588697452868
g64207,-0.934661389978219
g70218,-0.921626120932165
g33291,-0.729083044248523
adi2mcaRNA5725_R0,-0.955034434633651
adi2mcaRNA2679_R0,-0.620595316807108
g38017,-0.911906846948847
g54361,-0.62938836041448
adi2mcaRNA189_R1,-0.680688493701141
g48871,-0.940928709609991
adi2mcaRNA29018_R0,-0.803790630391111
g16357,-0.949804789152317
g53180,-0.947744066994166
g24191,-0.813311102678114
g51411,-0.765654120729333
g41458,-0.896604325494569
g67448,-0.86378975757848
g60644,-0.866103926001409
g57454,-0.74520163433997
g40455,-0.828019271178378
g70589,-0.62364062869474
g9313,-0.953564107557896
g39630,-0.923342065971394
g43271,-0.94541824093976
g62768,-0.944143724999247
g66594,-0.862812459281514
g47410,-0.886207988941449
g68745,-0.85207424157601
g68549,-0.904055882352439
g33588,-0.817615228665743
g53471,-0.959034547124068
g1890,-0.923930391610597
adi2mcaRNA354_R1,-0.806840130196273
g14823,-0.910783249932336
g3111,-0.890860623850381
g62261,-0.890456301106579
g47409,-0.94982915604661
adi2mcaRNA29163_R0,-0.527011959656145
g45330,-0.84401170788068
g55628,-0.832791062980725
g36643,-0.899630856398759
g8094,-0.934494097628252
g48106,-0.910893011065796
g43737,-0.845199440577896
g58241,-0.693474364822426
g22586,-0.958976816686048
g6034,-0.961919050182785
g14711,-0.935507057271903
g62140,-0.917531504608251
g22625,-0.754516396919387
g65534,-0.822793626050658
g35035,-0.831739764787269
g57433,-0.922647199367487
g64063,-0.945378623969805
g23862,-0.915975131557513
g41114,-0.870115209241742
g31994,-0.688866140419101
g67172,-0.956697069710915
g59538,-0.854860011964197
g43299,-0.954671645803887
g69583,-0.900440351224554
g58547,-0.81252708230748
adi2mcaRNA20408_R1,-0.933404633443111
g23825,-0.891003373788392
g57167,-0.853390163976828
g41794,-0.79763822926344
g28537,-0.860824798160559
g67361,-0.673611982804023
g41123,-0.947425018262182
g32273,-0.942286798811971
adi2mcaRNA2413_R0,-0.941339551243647
g49921,-0.882307136870007
g35290,-0.85060349849497
g51693,-0.864592210770057
g27883,-0.839367850758754
g53993,-0.882256503182296
g37499,-0.950401768197135
g29413,-0.635482989150318
g59876,-0.625292062924938
g16312,-0.836413724967784
g62897,-0.703865226534398
g23810,-0.78339416828209
g68892,-0.809691744087949
g14639,-0.92432546729001
g5672,-0.943053027780266
g12822,-0.645766467225845
g59962,-0.961049637475155
g56463,-0.566188022575025
g61593,-0.964017400449389
g38094,-0.656014356508678
g65418,-0.944474284470891
g64705,-0.939015096626339
g61128,-0.922514879111696
g41484,-0.781634026394429
g6456,-0.932142782677253
g40930,-0.543279869486319
g5580,-0.64226618229896
g29881,-0.84378980970536
g2599,-0.77784724943161
g70157,-0.800381809887035
g32409,-0.95508784177443
g43017,-0.690607461821291
g60066,-0.931359660818772
adi2mcaRNA7685_R0,-0.925194803000208
g32289,-0.761334260395709
g21673,-0.489004149872104
adi2mcaRNA2054_R0,-0.962150644526515
g58439,-0.922443941900466
adi2mcaRNA22733_R0,-0.85522102408738
g27746,-0.916131354025493
g16336,-0.962091139892857
adi2mcaRNA40105_R0,-0.820414057678211
g36425,-0.892143851810503
adi2mcaRNA32698_R1,-0.851121043087907
adi2mcaRNA19502_R0,-0.958787193293002
g45306,-0.951476041148674
adi2mcaRNA25523_R0,-0.896873507709944
g49299,-0.948670974202444
g27246,-0.497914824377706
g46544,-0.759408664580203
g15485,-0.455606230414199
g11961,-0.925419618154187
g55629,-0.670423850253025
g37101,-0.916332907502927
g52077,-0.896843415244719
g47454,-0.571471896926198
g22999,-0.942223790725542
g17611,-0.86119001531821
g28800,-0.682754172585302
g33927,-0.459761260599326
adi2mcaRNA35121_R0,-0.869590141574725
g62691,-0.422187133566559
g5286,-0.888434481627851
g41323,-0.70936651456725
g10611,-0.959848544157847
g32229,-0.911437714679036
g28342,-0.875615903966341
g53761,-0.912236756585205
g53332,-0.774670916122591
g65819,-0.894162093474382
g9990,-0.954817930740165
g24915,-0.94257271995511
adi2mcaRNA1261_R0,-0.938570508938489
g31955,-0.910506719555198
g46458,-0.789707636417214
g34557,-0.901556648622261
g21303,-0.915683047201619
g24060,-0.941492482784609
g27633,-0.961136797781444
adi2mcaRNA12756_R5,-0.937535143413802
g36065,-0.866413486721832
g39838,-0.887443177731085
adi2mcaRNA20827_R1,-0.875352578060286
g13592,-0.781203897530518
g35111,-0.77007853350078
g49159,-0.873815945569466
g33964,-0.935086538184637
g6792,-0.941171877309837
g40658,-0.608300901299955
g51718,-0.908350833264457
g49296,-0.799348367146227
g58094,-0.926892335652748
g71542,-0.878220785217466
adi2mcaRNA12756_R7,-0.946288990962868
g10758,-0.85955574654411
g55806,-0.716865671286717
g58073,-0.866095943101098
adi2mcaRNA4770_R6,-0.89585470559012
g18688,-0.921535037255933
g28259,-0.916534727582003
g61005,-0.879455359605722
g15333,-0.755081201804232
g31726,-0.949099989543897
g38584,-0.865898255156521
g15353,-0.7826277357283
g71004,-0.826078729218631
g48277,-0.949925026366593
g49065,-0.575825616548729
g35301,-0.650321155114753
g55364,-0.94167568729243
g67155,-0.695591781758871
g48066,-0.625379352481689
g15826,-0.797057532524612
g23102,-0.918251147879726
g22484,-0.818463662122874
adi2mcaRNA27920_R1,-0.761677767372987
g60917,-0.928874680242311
g16208,-0.82942198830662
g30175,-0.714977955095288
g42214,-0.943465828003859
g39975,-0.926701336440425
adi2mcaRNA15149_R1,-0.914226309937816
g12453,-0.940486623668752
g1880,-0.835319924832782
g9580,-0.871420959655801
g18905,-0.889683525419524
g53861,-0.850312810104484
g3332,-0.909300068816039
g38588,-0.86777551677594
g66569,-0.952099440497019
g22835,-0.902434680049435
g30749,-0.908137374980051
g18919,-0.928392446667809
g48572,-0.889335187796673
g37002,-0.858177042874447
g34444,-0.574607622428161
g25181,-0.928798985152804
g55272,-0.884746132517393
g7181,-0.942359216786175
g12715,-0.816321267117136
g22541,-0.933055639835288
g33614,-0.967635036270653
g51736,-0.869296926609941
g45266,-0.94574709756217
g3312,-0.932540138568852
g15581,-0.658080362992023
g817,-0.923236308173947
g53908,-0.937760838462496
g25636,-0.967066080544613
adi2mcaRNA19095_R0,-0.88923408250357
g25192,-0.912972714842534
g4244,-0.636544646155
g21754,-0.949467246522322
g15388,-0.7771602041387
g4140,-0.920198854746626
g52846,-0.796922415451107
g36087,-0.867384014167496
g22994,-0.834672538106908
g36357,-0.875170489805124
g55032,-0.863056121068473
g60670,-0.80419050773467
g31892,-0.736457802077502
g33780,-0.866989702072424
g42509,-0.884106923835498
g56238,-0.896179228465486
g43731,-0.923279844278784
g17069,-0.672826938263096
g53563,-0.867400642557211
adi2mcaRNA20515_R0,-0.711848548505958
g12315,-0.850406259706055
adi2mcaRNA27676_R0,-0.942851700477517
g57667,-0.764648841359154
g55527,-0.956946526501329
g45724,-0.83349968586591
g40452,-0.962199555290155
g1501,-0.453475743731973
g51631,-0.507326955448043
g22611,-0.442241955818109
g69793,-0.938726917233386
g54038,-0.926347029213893
g41798,-0.972512549433113
g62589,-0.856694268145591
g48639,-0.895169346552764
adi2mcaRNA33024_R0,-0.951251112378816
g35112,-0.680519099086998
g23838,-0.917839216876266
g37044,-0.696817092853038
g43981,-0.877812180515067
adi2mcaRNA21245_R2,-0.957588383079595
g35153,-0.939966492134693
g37679,-0.480845247204314
g36254,-0.919302459238768
g50848,-0.91289592823395
g17709,-0.937616115228703
g23916,-0.891013679794325
g5230,-0.90148609578345
g27905,-0.944311242447435
g23833,-0.826023824443809
g60180,-0.872458458500957
g28197,-0.84022712510804
g22278,-0.893685319978993
adi2mcaRNA34517_R0,-0.758878696606495
g39629,-0.948757200363224
g7591,-0.850380586774101
g65971,-0.917769208620898
g33661,-0.898717568781318
g60421,-0.669011989355374
adi2mcaRNA16921_R0,-0.937976610496835
adi2mcaRNA27180_R0,-0.622343704976214
g54486,-0.932557838202964
g22618,-0.883690052840636
g60350,-0.91059482677035
g49973,-0.917310737616439
