"","Gene","module"
"g33947","g33947",0
"g55691","g55691",7
"adi2mcaRNA32476_R0","adi2mcaRNA32476_R0",0
"g35399","g35399",0
"g44920","g44920",1
"g34443","g34443",4
"g33499","g33499",3
"g62436","g62436",2
"g62438","g62438",8
"g48388","g48388",1
"g33959","g33959",2
"g47470","g47470",2
"adi2mcaRNA36295_R0","adi2mcaRNA36295_R0",0
"g28377","g28377",4
"g28373","g28373",4
"g62388","g62388",1
"g62389","g62389",2
"g55697","g55697",2
"g8908","g8908",0
"g43306","g43306",0
"g30379","g30379",0
"adi2mcaRNA5195_R2","adi2mcaRNA5195_R2",1
"adi2mcaRNA21731_R1","adi2mcaRNA21731_R1",0
"adi2mcaRNA9646_R0","adi2mcaRNA9646_R0",5
"adi2mcaRNA27853_R1","adi2mcaRNA27853_R1",1
"g68918","g68918",1
"adi2mcaRNA1905_R1","adi2mcaRNA1905_R1",0
"g28256","g28256",4
"adi2mcaRNA10614_R0","adi2mcaRNA10614_R0",0
"g22588","g22588",0
"adi2mcaRNA12617_R0","adi2mcaRNA12617_R0",0
"g22584","g22584",2
"g22585","g22585",1
"g22582","g22582",4
"g70701","g70701",1
"g44825","g44825",2
"g70705","g70705",0
"g44826","g44826",6
"g31401","g31401",0
"g43974","g43974",2
"g8906","g8906",2
"g46276","g46276",0
"g46277","g46277",1
"g46275","g46275",5
"adi2mcaRNA8365_R0","adi2mcaRNA8365_R0",0
"g61141","g61141",0
"g20529","g20529",5
"g61145","g61145",1
"adi2mcaRNA25393_R2","adi2mcaRNA25393_R2",0
"g52742","g52742",0
"adi2mcaRNA9572_R1","adi2mcaRNA9572_R1",0
"g40462","g40462",0
"g9756","g9756",6
"g24181","g24181",4
"g67840","g67840",0
"g67841","g67841",0
"g67842","g67842",0
"g67846","g67846",2
"g67848","g67848",1
"g67849","g67849",2
"adi2mcaRNA5355_R0","adi2mcaRNA5355_R0",5
"g13815","g13815",2
"g13816","g13816",1
"g55918","g55918",0
"g13813","g13813",0
"g21693","g21693",4
"g21692","g21692",0
"g21691","g21691",2
"g21697","g21697",4
"g21696","g21696",1
"g21698","g21698",1
"g3259","g3259",0
"adi2mcaRNA27781_R0","adi2mcaRNA27781_R0",5
"g58268","g58268",1
"g58269","g58269",9
"g58267","g58267",2
"g58262","g58262",1
"g29928","g29928",1
"g29926","g29926",1
"g20699","g20699",0
"g65914","g65914",0
"g61998","g61998",1
"g57200","g57200",0
"g57203","g57203",0
"g61994","g61994",2
"g61995","g61995",3
"g61996","g61996",1
"g61997","g61997",1
"g52872","g52872",5
"g15705","g15705",1
"adi2mcaRNA7495_R0","adi2mcaRNA7495_R0",2
"g17908","g17908",3
"g17909","g17909",3
"g17904","g17904",0
"g17903","g17903",7
"g17901","g17901",1
"g56554","g56554",8
"adi2mcaRNA39245_R0","adi2mcaRNA39245_R0",0
"g63286","g63286",6
"g39434","g39434",2
"g63285","g63285",6
"g39438","g39438",0
"g39439","g39439",1
"g34600","g34600",0
"adi2mcaRNA15413_R8","adi2mcaRNA15413_R8",1
"g34604","g34604",2
"adi2mcaRNA12628_R0","adi2mcaRNA12628_R0",8
"adi2mcaRNA35906_R0","adi2mcaRNA35906_R0",0
"g37057","g37057",2
"g55117","g55117",0
"g55115","g55115",0
"g64477","g64477",0
"g602","g602",1
"g601","g601",1
"g63827","g63827",1
"g63820","g63820",2
"g63821","g63821",5
"g63828","g63828",1
"g24097","g24097",0
"g61468","g61468",1
"g6815","g6815",4
"g63030","g63030",0
"g59676","g59676",1
"g24272","g24272",2
"g59672","g59672",0
"g52666","g52666",0
"g52667","g52667",1
"g52660","g52660",1
"g52662","g52662",2
"g2201","g2201",1
"g52668","g52668",0
"g2205","g2205",1
"g13595","g13595",0
"g13594","g13594",2
"g13591","g13591",0
"g13593","g13593",0
"g1922","g1922",0
"g15438","g15438",6
"g15439","g15439",2
"g29918","g29918",0
"g54942","g54942",2
"g1833","g1833",0
"g57362","g57362",5
"adi2mcaRNA27218_R0","adi2mcaRNA27218_R0",4
"g5892","g5892",5
"g5890","g5890",1
"g5891","g5891",5
"g5899","g5899",2
"g20336","g20336",2
"g15293","g15293",0
"g53229","g53229",1
"g53221","g53221",1
"g49394","g49394",0
"g49392","g49392",0
"g47259","g47259",7
"g31178","g31178",0
"g31177","g31177",0
"g31175","g31175",2
"g47254","g47254",2
"g43941","g43941",3
"g43940","g43940",2
"g43945","g43945",1
"g55944","g55944",0
"g43928","g43928",2
"adi2mcaRNA35184_R0","adi2mcaRNA35184_R0",2
"adi2mcaRNA2042_R0","adi2mcaRNA2042_R0",0
"g15601","g15601",2
"g49973","g49973",1
"g49974","g49974",1
"g49975","g49975",2
"g49976","g49976",0
"g49977","g49977",0
"g49978","g49978",1
"g42010","g42010",1
"g57454","g57454",1
"g60394","g60394",2
"g12050","g12050",1
"adi2mcaRNA30753_R0","adi2mcaRNA30753_R0",1
"adi2mcaRNA13870_R2","adi2mcaRNA13870_R2",1
"g43058","g43058",0
"g43051","g43051",8
"g43050","g43050",1
"g43053","g43053",3
"g43052","g43052",0
"g43054","g43054",2
"g43056","g43056",2
"adi2mcaRNA16130_R0","adi2mcaRNA16130_R0",4
"adi2mcaRNA155_R0","adi2mcaRNA155_R0",1
"adi2mcaRNA34859_R0","adi2mcaRNA34859_R0",5
"g70768","g70768",2
"g42582","g42582",0
"g19211","g19211",2
"g28504","g28504",1
"g64079","g64079",0
"g6229","g6229",1
"g37101","g37101",1
"g37102","g37102",0
"g37104","g37104",2
"g38335","g38335",1
"g22350","g22350",2
"g32882","g32882",2
"g32889","g32889",1
"g23884","g23884",4
"g23886","g23886",2
"g29675","g29675",0
"g29674","g29674",6
"g42830","g42830",2
"g42831","g42831",1
"g22281","g22281",2
"g22289","g22289",0
"g22288","g22288",1
"g40080","g40080",2
"adi2mcaRNA6620_R0","adi2mcaRNA6620_R0",1
"g23828","g23828",5
"adi2mcaRNA5825_R0","adi2mcaRNA5825_R0",0
"g30658","g30658",0
"g30652","g30652",2
"g30655","g30655",1
"g30654","g30654",0
"g36767","g36767",1
"g36766","g36766",2
"g22425","g22425",0
"g22424","g22424",2
"g27737","g27737",3
"g22428","g22428",1
"g66470","g66470",6
"adi2mcaRNA20709_R0","adi2mcaRNA20709_R0",0
"g60133","g60133",0
"g27731","g27731",2
"g52039","g52039",0
"g33305","g33305",0
"g33302","g33302",2
"g33303","g33303",0
"g41028","g41028",2
"g27553","g27553",0
"g27556","g27556",0
"g27558","g27558",0
"g8368","g8368",6
"g8362","g8362",1
"g8365","g8365",0
"g59079","g59079",2
"g56143","g56143",0
"g61265","g61265",0
"adi2mcaRNA25068_R0","adi2mcaRNA25068_R0",2
"g48556","g48556",0
"g2044","g2044",2
"g2045","g2045",3
"g2047","g2047",3
"g2048","g2048",2
"g28991","g28991",2
"g48087","g48087",3
"g48086","g48086",1
"g48085","g48085",0
"g48084","g48084",5
"g48083","g48083",1
"g48081","g48081",2
"g48080","g48080",6
"adi2mcaRNA6200_R0","adi2mcaRNA6200_R0",0
"g48088","g48088",2
"g59309","g59309",4
"g9544","g9544",1
"g39937","g39937",2
"g3796","g3796",0
"g3795","g3795",4
"g3793","g3793",0
"g3792","g3792",0
"g3798","g3798",0
"g39936","g39936",2
"g25043","g25043",0
"g24977","g24977",0
"g56961","g56961",1
"g46271","g46271",0
"g33368","g33368",1
"adi2mcaRNA12572_R0","adi2mcaRNA12572_R0",10
"g2820","g2820",2
"g2825","g2825",2
"g54233","g54233",6
"g1559","g1559",0
"g1554","g1554",8
"g1553","g1553",0
"adi2mcaRNA17864_R1","adi2mcaRNA17864_R1",1
"g53878","g53878",1
"g53873","g53873",9
"g53876","g53876",6
